Chargement du dataset CelebA...
Je charge 202599 images depuis data/celeba/img_align_celeba/

============================================================
DÉMARRAGE DE L'ENTRAÎNEMENT DU GAN
============================================================

Créations des modèless
Générateur : 2,733,507 paramètres
Discriminateur : 1,045,633 paramètres

Optimiseurs Adam :
  - Générateur : lr=0.0001, beta_1=0.5, beta_2=0.999
  - Discriminateur : lr=0.0002, beta_1=0.5, beta_2=0.999

Configuration :
  - Epochs : 1000
  - Batch size : 128
  - Image size : 64x64
  - Noise dim : 100
  - Save interval : 100

============================================================
DÉBUT DE L'ENTRAÎNEMENT
============================================================

Epoch 00193 |`G Loss: 5.6306 | D Loss: 0.3533 | Time: 18.43s
Epoch 00194 |`G Loss: 4.4152 | D Loss: 0.2558 | Time: 18.41s
Epoch 00195 |`G Loss: 5.1959 | D Loss: 0.2950 | Time: 18.44s
Epoch 00196 |`G Loss: 3.7654 | D Loss: 0.2853 | Time: 18.36s
Epoch 00197 |`G Loss: 3.7973 | D Loss: 0.2862 | Time: 18.41s
Epoch 00198 |`G Loss: 4.5309 | D Loss: 0.2340 | Time: 18.55s
Epoch 00199 |`G Loss: 3.1400 | D Loss: 0.2691 | Time: 18.95s
Epoch 00200 |`G Loss: 3.9876 | D Loss: 0.2555 | Time: 18.59s

============================================================
SAUVEGARDE - Epoch 200
============================================================
Images générées sauvegardées
============================================================

WARNING:tensorflow:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
WARNING:tensorflow:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.
Modèles sauvegardés (epoch 200)
Epoch 00201 |`G Loss: 4.6753 | D Loss: 0.1998 | Time: 19.86s
Epoch 00202 |`G Loss: 3.3519 | D Loss: 0.3790 | Time: 19.09s
Epoch 00203 |`G Loss: 3.4639 | D Loss: 0.4082 | Time: 18.42s
Epoch 00204 |`G Loss: 4.6773 | D Loss: 0.2879 | Time: 18.27s
Epoch 00205 |`G Loss: 3.3587 | D Loss: 0.3535 | Time: 18.35s
Epoch 00206 |`G Loss: 3.5070 | D Loss: 0.2636 | Time: 18.38s
Epoch 00207 |`G Loss: 4.0723 | D Loss: 0.2420 | Time: 18.30s
Epoch 00208 |`G Loss: 2.9613 | D Loss: 0.3987 | Time: 18.33s
Epoch 00209 |`G Loss: 4.1571 | D Loss: 0.2816 | Time: 18.75s
Epoch 00210 |`G Loss: 3.4951 | D Loss: 0.3387 | Time: 19.33s
Epoch 00211 |`G Loss: 4.0167 | D Loss: 0.2423 | Time: 19.82s
Epoch 00212 |`G Loss: 3.4510 | D Loss: 0.1764 | Time: 18.85s
Epoch 00213 |`G Loss: 4.2121 | D Loss: 0.2640 | Time: 18.16s
Epoch 00214 |`G Loss: 4.4669 | D Loss: 0.4122 | Time: 18.33s
Epoch 00215 |`G Loss: 3.6398 | D Loss: 0.2849 | Time: 18.41s
Epoch 00216 |`G Loss: 3.4193 | D Loss: 0.3434 | Time: 18.48s
Epoch 00217 |`G Loss: 4.2961 | D Loss: 0.2599 | Time: 18.44s
Epoch 00218 |`G Loss: 3.5907 | D Loss: 0.2667 | Time: 18.46s
Epoch 00219 |`G Loss: 4.3880 | D Loss: 0.2854 | Time: 18.41s
Epoch 00220 |`G Loss: 4.1267 | D Loss: 0.3262 | Time: 18.36s
Epoch 00221 |`G Loss: 4.4754 | D Loss: 0.1748 | Time: 18.37s
Epoch 00222 |`G Loss: 3.5863 | D Loss: 0.5480 | Time: 18.33s
Epoch 00223 |`G Loss: 4.1419 | D Loss: 0.2665 | Time: 18.45s
Epoch 00224 |`G Loss: 4.5418 | D Loss: 0.2282 | Time: 18.37s
Epoch 00225 |`G Loss: 4.3984 | D Loss: 0.2346 | Time: 18.41s
Epoch 00226 |`G Loss: 4.3331 | D Loss: 0.2332 | Time: 18.41s
Epoch 00227 |`G Loss: 3.3800 | D Loss: 0.2454 | Time: 18.39s
Epoch 00228 |`G Loss: 3.7457 | D Loss: 0.3740 | Time: 18.53s
Epoch 00229 |`G Loss: 3.9784 | D Loss: 0.6531 | Time: 18.33s
Epoch 00230 |`G Loss: 3.8834 | D Loss: 0.2594 | Time: 18.44s
Epoch 00231 |`G Loss: 5.1772 | D Loss: 0.3213 | Time: 18.41s
Epoch 00232 |`G Loss: 4.2039 | D Loss: 0.1796 | Time: 18.45s
Epoch 00233 |`G Loss: 3.5861 | D Loss: 0.2638 | Time: 18.30s
Epoch 00234 |`G Loss: 2.9555 | D Loss: 0.3248 | Time: 18.28s
Epoch 00235 |`G Loss: 5.2056 | D Loss: 0.1381 | Time: 18.42s
Epoch 00236 |`G Loss: 4.7223 | D Loss: 0.2615 | Time: 18.47s
Epoch 00237 |`G Loss: 5.4036 | D Loss: 0.3930 | Time: 18.43s
Epoch 00238 |`G Loss: 4.0049 | D Loss: 0.2055 | Time: 18.42s
Epoch 00239 |`G Loss: 5.1605 | D Loss: 0.2477 | Time: 18.32s
Epoch 00240 |`G Loss: 4.4474 | D Loss: 0.1790 | Time: 18.48s
Epoch 00241 |`G Loss: 3.9040 | D Loss: 0.2410 | Time: 18.43s
Epoch 00242 |`G Loss: 5.1264 | D Loss: 0.2905 | Time: 18.36s
Epoch 00243 |`G Loss: 4.1277 | D Loss: 0.1977 | Time: 18.41s
Epoch 00244 |`G Loss: 4.7207 | D Loss: 0.2226 | Time: 18.49s
Epoch 00245 |`G Loss: 4.0796 | D Loss: 0.2793 | Time: 18.48s
Epoch 00246 |`G Loss: 4.3334 | D Loss: 0.2038 | Time: 18.48s
Epoch 00247 |`G Loss: 4.5783 | D Loss: 0.2769 | Time: 18.56s
Epoch 00248 |`G Loss: 5.6179 | D Loss: 0.2149 | Time: 18.48s
Epoch 00249 |`G Loss: 3.1772 | D Loss: 0.2647 | Time: 18.48s
Epoch 00250 |`G Loss: 4.4381 | D Loss: 0.2479 | Time: 18.38s
Epoch 00251 |`G Loss: 2.9475 | D Loss: 0.6007 | Time: 18.43s
Epoch 00252 |`G Loss: 4.6161 | D Loss: 0.2104 | Time: 18.45s
Epoch 00253 |`G Loss: 3.8907 | D Loss: 0.2639 | Time: 18.37s
Epoch 00254 |`G Loss: 4.2002 | D Loss: 0.3553 | Time: 18.41s
Epoch 00255 |`G Loss: 3.8025 | D Loss: 0.1995 | Time: 18.46s
Epoch 00256 |`G Loss: 4.0224 | D Loss: 0.2985 | Time: 18.44s
Epoch 00257 |`G Loss: 3.3582 | D Loss: 0.2506 | Time: 18.35s
Epoch 00258 |`G Loss: 4.0179 | D Loss: 0.1569 | Time: 18.39s
Epoch 00259 |`G Loss: 5.1343 | D Loss: 0.1724 | Time: 18.48s
Epoch 00260 |`G Loss: 4.1708 | D Loss: 0.1857 | Time: 18.42s
Epoch 00261 |`G Loss: 4.5987 | D Loss: 0.1629 | Time: 18.47s
Epoch 00262 |`G Loss: 3.4511 | D Loss: 0.3148 | Time: 18.39s
Epoch 00263 |`G Loss: 4.9112 | D Loss: 0.1220 | Time: 18.38s
Epoch 00264 |`G Loss: 4.6382 | D Loss: 0.1469 | Time: 18.33s
Epoch 00265 |`G Loss: 4.2500 | D Loss: 0.2376 | Time: 18.35s
Epoch 00266 |`G Loss: 2.9584 | D Loss: 0.8680 | Time: 18.42s
Epoch 00267 |`G Loss: 3.5004 | D Loss: 0.3116 | Time: 18.29s
Epoch 00268 |`G Loss: 3.9955 | D Loss: 0.2324 | Time: 18.28s
Epoch 00269 |`G Loss: 3.6597 | D Loss: 0.2940 | Time: 18.39s
Epoch 00270 |`G Loss: 4.0773 | D Loss: 0.2197 | Time: 18.94s
Epoch 00271 |`G Loss: 3.9865 | D Loss: 0.5159 | Time: 19.20s
Epoch 00272 |`G Loss: 4.2184 | D Loss: 0.2129 | Time: 19.93s
Epoch 00273 |`G Loss: 3.6321 | D Loss: 0.3051 | Time: 19.02s
Epoch 00274 |`G Loss: 3.7700 | D Loss: 0.3681 | Time: 18.38s
Epoch 00275 |`G Loss: 4.3435 | D Loss: 0.2379 | Time: 18.41s
Epoch 00276 |`G Loss: 5.0710 | D Loss: 0.2551 | Time: 18.38s
Epoch 00277 |`G Loss: 3.4410 | D Loss: 0.3160 | Time: 18.40s
Epoch 00278 |`G Loss: 3.7038 | D Loss: 0.3249 | Time: 18.31s
Epoch 00279 |`G Loss: 3.5879 | D Loss: 0.2212 | Time: 18.34s
