Je charge 202599 images depuis data/celeba/img_align_celeba
  step   600 | G 1.8148 | D 0.9827
  step   700 | G 1.5862 | D 0.8049
  step   800 | G 1.3333 | D 0.8632
  step   900 | G 0.9667 | D 1.3024
  step  1000 | G 1.0696 | D 0.9289
  step  1100 | G 1.4105 | D 0.8990
  step  1200 | G 1.5101 | D 0.9090
  step  1300 | G 1.6974 | D 0.8889
  step  1400 | G 1.6895 | D 0.9789
  step  1500 | G 2.4738 | D 1.0278
Epoch 00029 | G Loss: 1.6880 | D Loss: 0.9163 | Time: 1549.11s
  step   100 | G 1.4933 | D 1.0070
  step   200 | G 1.2750 | D 1.1793
  step   300 | G 1.4963 | D 0.9492
  step   400 | G 1.5107 | D 0.9083
  step   500 | G 1.2731 | D 0.8268
  step   600 | G 1.6965 | D 1.0073
  step   700 | G 1.7675 | D 0.7849
  step   800 | G 1.8309 | D 0.8483
  step   900 | G 1.8907 | D 0.7768
  step  1000 | G 1.7270 | D 0.9055
  step  1100 | G 1.4887 | D 0.9750
  step  1200 | G 1.9069 | D 0.8492
  step  1300 | G 1.3588 | D 0.9595
  step  1400 | G 1.5067 | D 0.8671
  step  1500 | G 2.4293 | D 0.8600
Epoch 00030 | G Loss: 1.6408 | D Loss: 0.9598 | Time: 1548.37s
  step   100 | G 2.0614 | D 1.0385
  step   200 | G 1.5855 | D 0.9870
  step   300 | G 1.6467 | D 0.8334
  step   400 | G 1.8170 | D 0.8967
  step   500 | G 1.5318 | D 0.9437
  step   600 | G 1.2623 | D 0.9030
  step   700 | G 1.7685 | D 0.9508
  step   800 | G 1.4349 | D 0.9123
  step   900 | G 1.8458 | D 0.8536
  step  1000 | G 1.5124 | D 0.8975
  step  1100 | G 1.6606 | D 0.7687
  step  1200 | G 1.5596 | D 0.8591
  step  1300 | G 1.8150 | D 0.8481
  step  1400 | G 1.9746 | D 0.9760
  step  1500 | G 1.6061 | D 0.9948
Epoch 00031 | G Loss: 1.6805 | D Loss: 0.9313 | Time: 1550.69s
  step   100 | G 1.7953 | D 0.8943
  step   200 | G 2.0565 | D 0.7662
  step   300 | G 1.4891 | D 0.9513
  step   400 | G 1.5380 | D 0.7685
  step   500 | G 1.7717 | D 0.8784
  step   600 | G 1.7083 | D 0.8776
  step   700 | G 1.9078 | D 1.0346
  step   800 | G 1.4746 | D 0.9357
  step   900 | G 1.8772 | D 0.8966
  step  1000 | G 1.7954 | D 0.9254
  step  1100 | G 1.6477 | D 1.0000
  step  1200 | G 1.8794 | D 0.9505
  step  1300 | G 2.0515 | D 0.9469
  step  1400 | G 1.3128 | D 0.9993
  step  1500 | G 1.6541 | D 0.9960
Epoch 00032 | G Loss: 1.7182 | D Loss: 0.9347 | Time: 1553.05s
  step   100 | G 1.8405 | D 0.7866
  step   200 | G 1.6722 | D 0.8755
  step   300 | G 1.4619 | D 0.7455
  step   400 | G 1.6954 | D 0.9478
  step   500 | G 1.8746 | D 0.9419
  step   600 | G 1.4868 | D 0.8567
  step   700 | G 1.2576 | D 0.9358
  step   800 | G 2.2554 | D 0.9748
  step   900 | G 1.5730 | D 0.9548
  step  1000 | G 2.1629 | D 1.0251
  step  1100 | G 1.4449 | D 0.8924
  step  1200 | G 2.0950 | D 0.8506
  step  1300 | G 1.8245 | D 0.8293
  step  1400 | G 1.6941 | D 0.9643
  step  1500 | G 1.3478 | D 0.8683
Epoch 00033 | G Loss: 1.7163 | D Loss: 0.8947 | Time: 1547.64s
  step   100 | G 1.7517 | D 0.8815
  step   200 | G 1.2567 | D 0.8992
  step   300 | G 1.5453 | D 0.8477
  step   400 | G 1.5081 | D 0.8754
  step   500 | G 1.4809 | D 0.8138
  step   600 | G 1.1217 | D 0.9617
  step   700 | G 1.6531 | D 0.9867
  step   800 | G 1.4497 | D 0.9091
  step   900 | G 2.6804 | D 1.0708
  step  1000 | G 1.9539 | D 0.7550
  step  1100 | G 1.5735 | D 0.8988
  step  1200 | G 1.4049 | D 0.9080
  step  1300 | G 2.1381 | D 0.8014
  step  1400 | G 1.7530 | D 0.9632
  step  1500 | G 1.6574 | D 0.8425
Epoch 00034 | G Loss: 1.7131 | D Loss: 0.9254 | Time: 1548.48s
  step   100 | G 1.5532 | D 0.9354
  step   200 | G 1.4260 | D 0.9591
  step   300 | G 1.3584 | D 0.9275
  step   400 | G 1.2898 | D 0.9007
  step   500 | G 1.4838 | D 0.8402
  step   600 | G 1.4874 | D 0.9490
  step   700 | G 1.8937 | D 0.8773
  step   800 | G 1.5232 | D 1.0146
  step   900 | G 1.6686 | D 0.9230
  step  1000 | G 1.2972 | D 0.8065
  step  1100 | G 2.2323 | D 0.8286
  step  1200 | G 1.3477 | D 0.8735
  step  1300 | G 1.9259 | D 0.9545
  step  1400 | G 1.8563 | D 0.9291
  step  1500 | G 1.9795 | D 0.9009
Epoch 00035 | G Loss: 1.7611 | D Loss: 0.9012 | Time: 1547.98s
  step   100 | G 1.4646 | D 1.0876
  step   200 | G 1.4925 | D 0.9123
  step   300 | G 1.4857 | D 0.9581
  step   400 | G 1.5560 | D 0.8336
  step   500 | G 1.6477 | D 0.7968
  step   600 | G 1.5419 | D 0.8885
  step   700 | G 1.3624 | D 0.9486
  step   800 | G 1.8783 | D 0.8750
  step   900 | G 1.7310 | D 0.8885
  step  1000 | G 1.4265 | D 0.9156
  step  1100 | G 2.4319 | D 0.8414
  step  1200 | G 1.5154 | D 0.7552
  step  1300 | G 1.6131 | D 0.9161
  step  1400 | G 2.2855 | D 0.9744
  step  1500 | G 1.3543 | D 0.9191
Epoch 00036 | G Loss: 1.7294 | D Loss: 0.9218 | Time: 1548.19s
  step   100 | G 1.9235 | D 0.7065
  step   200 | G 1.9065 | D 0.8256
  step   300 | G 1.6445 | D 0.9225
  step   400 | G 1.4303 | D 0.8972
  step   500 | G 1.7876 | D 0.8834
  step   600 | G 1.8944 | D 1.0002
  step   700 | G 1.5650 | D 1.0429
  step   800 | G 1.8661 | D 0.8374
  step   900 | G 1.6554 | D 0.8748
  step  1000 | G 1.6983 | D 0.8912
  step  1100 | G 1.7867 | D 0.8578
  step  1200 | G 1.6884 | D 0.8784
  step  1300 | G 1.4598 | D 0.8921
  step  1400 | G 1.6507 | D 0.9052
  step  1500 | G 1.6631 | D 0.8709
Epoch 00037 | G Loss: 1.7746 | D Loss: 0.8932 | Time: 1549.89s
  step   100 | G 2.0916 | D 0.8185
  step   200 | G 2.0215 | D 0.9349
  step   300 | G 2.0882 | D 0.8997
  step   400 | G 1.4673 | D 0.8305
  step   500 | G 1.7491 | D 0.8783
